codbar,neighborhood,district,grid_point,lat,lon,nearest_bike_parking_m,is_underserved
61,EXPOSICIO,EL PLA DEL REAL,0,39.47445572791973,-0.36710157431435725,169.3,False
61,EXPOSICIO,EL PLA DEL REAL,1,39.47445572791973,-0.3636102277121638,34.1,False
61,EXPOSICIO,EL PLA DEL REAL,2,39.47445572791973,-0.3601188811099703,11.1,False
61,EXPOSICIO,EL PLA DEL REAL,3,39.4771506614447,-0.36710157431435725,21.3,False
61,EXPOSICIO,EL PLA DEL REAL,4,39.4771506614447,-0.3636102277121638,2.2,False
61,EXPOSICIO,EL PLA DEL REAL,5,39.4771506614447,-0.3601188811099703,22.0,False
23,LA GRAN VIA,L'EIXAMPLE,0,39.46393803002726,-0.36861768301845405,29.4,False
23,LA GRAN VIA,L'EIXAMPLE,1,39.46393803002726,-0.3651268679768161,43.1,False
23,LA GRAN VIA,L'EIXAMPLE,2,39.46393803002726,-0.36163605293517814,20.3,False
23,LA GRAN VIA,L'EIXAMPLE,3,39.46663296355223,-0.36861768301845405,22.8,False
23,LA GRAN VIA,L'EIXAMPLE,4,39.46663296355223,-0.3651268679768161,60.5,False
23,LA GRAN VIA,L'EIXAMPLE,5,39.46663296355223,-0.36163605293517814,53.9,False
21,RUSSAFA,L'EIXAMPLE,0,39.45597604733924,-0.37949353362783483,163.6,False
21,RUSSAFA,L'EIXAMPLE,1,39.45867098086421,-0.37949353362783483,203.1,False
21,RUSSAFA,L'EIXAMPLE,2,39.45867098086421,-0.3760029369312045,56.0,False
21,RUSSAFA,L'EIXAMPLE,3,39.45867098086421,-0.3725123402345742,24.2,False
21,RUSSAFA,L'EIXAMPLE,4,39.461365914389184,-0.3760029369312045,39.1,False
21,RUSSAFA,L'EIXAMPLE,5,39.461365914389184,-0.3725123402345742,39.1,False
21,RUSSAFA,L'EIXAMPLE,6,39.461365914389184,-0.36902174353794387,34.7,False
21,RUSSAFA,L'EIXAMPLE,7,39.461365914389184,-0.36553114684131355,39.2,False
21,RUSSAFA,L'EIXAMPLE,8,39.464060847914155,-0.3760029369312045,50.3,False
21,RUSSAFA,L'EIXAMPLE,9,39.464060847914155,-0.3725123402345742,49.6,False
21,RUSSAFA,L'EIXAMPLE,10,39.466755781439126,-0.3760029369312045,47.4,False
94,SANT MARCEL.LI,JESUS,0,39.443235077295455,-0.39255998224455196,116.4,False
94,SANT MARCEL.LI,JESUS,1,39.443235077295455,-0.38907019869008586,59.1,False
94,SANT MARCEL.LI,JESUS,2,39.445930010820426,-0.39255998224455196,47.3,False
94,SANT MARCEL.LI,JESUS,3,39.445930010820426,-0.38907019869008586,81.9,False
13,EL CARME,CIUTAT VELLA,0,39.47683403438336,-0.3824451250742208,134.9,False
13,EL CARME,CIUTAT VELLA,1,39.47683403438336,-0.3789536325953804,60.0,False
13,EL CARME,CIUTAT VELLA,2,39.47952896790833,-0.3824451250742208,64.8,False
13,EL CARME,CIUTAT VELLA,3,39.47952896790833,-0.3789536325953804,17.3,False
13,EL CARME,CIUTAT VELLA,4,39.47952896790833,-0.37546214011654,45.8,False
31,EL BOTANIC,EXTRAMURS,0,39.47339702967649,-0.38522928329357986,33.6,False
31,EL BOTANIC,EXTRAMURS,1,39.47609196320146,-0.38872062973185595,66.0,False
31,EL BOTANIC,EXTRAMURS,2,39.47609196320146,-0.38522928329357986,41.8,False
31,EL BOTANIC,EXTRAMURS,3,39.47878689672643,-0.38522928329357986,37.3,False
114,BETERO,POBLATS MARÍTIMS,0,39.46988163687822,-0.3384944037365963,40.6,False
114,BETERO,POBLATS MARÍTIMS,1,39.46988163687822,-0.3350032661749089,13.5,False
114,BETERO,POBLATS MARÍTIMS,2,39.47257657040319,-0.3350032661749089,34.5,False
114,BETERO,POBLATS MARÍTIMS,3,39.47527150392816,-0.3350032661749089,113.0,False
125,PENYA-ROJA,CAMINS AL GRAU,0,39.4551670299278,-0.34760983007573815,85.5,False
125,PENYA-ROJA,CAMINS AL GRAU,1,39.4551670299278,-0.34411933427387675,35.3,False
125,PENYA-ROJA,CAMINS AL GRAU,2,39.45786196345277,-0.35110032587759954,32.2,False
125,PENYA-ROJA,CAMINS AL GRAU,3,39.45786196345277,-0.34760983007573815,91.8,False
125,PENYA-ROJA,CAMINS AL GRAU,4,39.45786196345277,-0.34411933427387675,68.6,False
125,PENYA-ROJA,CAMINS AL GRAU,5,39.46055689697774,-0.3580813174813223,119.5,False
125,PENYA-ROJA,CAMINS AL GRAU,6,39.46055689697774,-0.35459082167946093,54.9,False
125,PENYA-ROJA,CAMINS AL GRAU,7,39.46055689697774,-0.35110032587759954,80.5,False
125,PENYA-ROJA,CAMINS AL GRAU,8,39.46055689697774,-0.34760983007573815,95.3,False
125,PENYA-ROJA,CAMINS AL GRAU,9,39.46325183050271,-0.3580813174813223,19.1,False
125,PENYA-ROJA,CAMINS AL GRAU,10,39.46325183050271,-0.35459082167946093,26.2,False
123,LA CREU DEL GRAU,CAMINS AL GRAU,0,39.45918474469022,-0.34283019895298616,117.8,False
123,LA CREU DEL GRAU,CAMINS AL GRAU,1,39.46187967821519,-0.3498114469542164,38.7,False
123,LA CREU DEL GRAU,CAMINS AL GRAU,2,39.46187967821519,-0.3463208229536013,115.0,False
123,LA CREU DEL GRAU,CAMINS AL GRAU,3,39.46187967821519,-0.34283019895298616,70.6,False
123,LA CREU DEL GRAU,CAMINS AL GRAU,4,39.46187967821519,-0.33933957495237105,23.4,False
