objectid,parking_type,spaces,x_utm,y_utm,lat,lon
1454930,A - Horquilla,2,725899.0549999997,4370112.688999999,39.45096716777393,-0.3746482784906058
1454931,A - Horquilla,4,725996.6660000002,4370224.634,39.45194919872157,-0.3734770949048516
1454932,A - Horquilla,4,726045.1660000002,4370264.884,39.45229876869607,-0.37290036015905187
1454933,A - Horquilla,2,726001.9160000002,4370341.050000001,39.45299570094639,-0.37337673770839314
1454934,A - Horquilla,2,725935.8329999996,4370352.467,39.45311580474477,-0.3741401434245877
1454935,A - Horquilla,2,725934.6660000002,4370237.134,39.45207797877023,-0.37419271724332737
1454936,A - Horquilla,2,725760.4160000002,4370511.217,39.454590740440416,-0.37612318438421766
1454937,A - Horquilla,2,725709.4989999998,4370481.300000001,39.45433479737326,-0.37672449395151225
1454938,A - Horquilla,2,725674.3329999996,4370496.4120000005,39.45448003859005,-0.37712769625317993
1454939,A - Horquilla,2,725724.2400000002,4370410.523,39.4536938570991,-0.37657726473563063
1454940,A - Horquilla,2,725689.8700000001,4370422.671,39.45381221059573,-0.3769722227114019
1454941,A - Horquilla,2,725675.3509999998,4370447.967,39.45404370918657,-0.37713225072564616
1454942,A - Horquilla,4,725700.4989999998,4370380.884,39.45343329259018,-0.3768629361525783
1454943,A - Horquilla,4,725759.3329999996,4370398.717,39.453578391194206,-0.37617379791731437
1454944,A - Horquilla,4,725778.3329999996,4370409.717,39.45367242370101,-0.37594947311220317
1454945,A - Horquilla,2,725849.9809999997,4370563.115,39.45503440095733,-0.3750656928507822
1454946,A - Horquilla,2,726217.6069999998,4371306.606000001,39.46163018127659,-0.3705452309474811
1454947,A - Horquilla,2,724823.6540000001,4370705.979,39.456588890315544,-0.3869343805038632
1454948,A - Horquilla,6,727813.4160000002,4373111.634,39.477456470020385,-0.3513984123117353
1454949,A - Horquilla,6,723506.8329999996,4372464.467,39.472760428849114,-0.4016356765843622
1454950,A - Horquilla,4,724429.3880000003,4371839.152000001,39.466891736727526,-0.39113133055040417
1454951,A - Horquilla,2,724524.4989999998,4371013.023,39.45943072566228,-0.39030472476511535
1454952,A - Horquilla,2,725789.2489999998,4370545.717,39.45489372262615,-0.3757767381661211
1454953,A - Horquilla,4,725707.0829999996,4370620.717,39.45559034890617,-0.3767054146939073
1454954,A - Horquilla,4,725725.1660000002,4370590.300000001,39.45531182053985,-0.3765057342755506
1454955,A - Horquilla,4,725740.5829999996,4370563.467,39.45506625090803,-0.3763357986650267
1454956,A - Horquilla,2,725643.0829999996,4370550.300000001,39.454973282709844,-0.3774723268779803
1454957,A - Horquilla,4,725766.5829999996,4370718.050000001,39.45645086495625,-0.3759816372663868
1454958,A - Horquilla,2,725932.9160000002,4370459.967,39.45408419567684,-0.3741376365741218
1454959,A - Horquilla,2,725960.6660000002,4370411.300000001,39.45363885587202,-0.37383190496798085
1454960,A - Horquilla,2,726123.6660000002,4370131.717,39.45107950645185,-0.3720340257371408
1454961,A - Horquilla,2,726154.9989999998,4370077.634,39.45058447081122,-0.3716885545086145
1454962,A - Horquilla,4,726149.8329999996,4369995.967,39.44985072959461,-0.37177618903025833
1454963,A - Horquilla,4,726098.4989999998,4370041.300000001,39.450272254942725,-0.3723568362159104
1454964,A - Horquilla,2,726122.2489999998,4369937.550000001,39.44933215020379,-0.3721162227008627
1454965,A - Horquilla,2,726209.2209999999,4369986.134,39.449746627536925,-0.3710900168231375
1454966,A - Horquilla,2,726231.9440000001,4369945.467,39.44937461016997,-0.3708399762385086
1454967,A - Horquilla,2,726254.2769999998,4369909.4120000005,39.44904420807598,-0.37059290368850323
1454968,A - Horquilla,4,726205.5829999996,4369777.509,39.447869716813145,-0.3712029161183621
1454969,A - Horquilla,2,726280.3329999996,4369715.217,39.44728938558728,-0.37035618745815085
1454970,A - Horquilla,4,726275.0829999996,4369671.300000001,39.446895460941676,-0.37043201647175217
1454971,A - Horquilla,4,726263.7489999998,4369674.050000001,39.446923190995506,-0.3705626685516114
1454972,A - Horquilla,2,726245.9989999998,4369705.550000001,39.44721138913925,-0.37075806968628533
1454973,A - Horquilla,2,726370.1660000002,4369661.550000001,39.44678272032851,-0.3693314422453566
1454974,A - Horquilla,10,725660.4890000001,4372504.345000001,39.4725574213598,-0.37660948770563923
1454975,A - Horquilla,4,725690.4989999998,4372544.384,39.472909950014916,-0.37624740624476055
1454976,A - Horquilla,4,725400.7779999999,4372750.007999999,39.474836730106006,-0.3795427524476499
1454977,A - Horquilla,8,725405.1359999999,4372577.5309999995,39.473283092773435,-0.3795504220552636
1454978,A - Horquilla,8,725410.8099999996,4372611.729,39.473589429042654,-0.3794729671694035
1454979,A - Horquilla,8,729358.3329999996,4366977.884,39.42183691149811,-0.3355616065625484
1454980,A - Horquilla,2,725227.0939999996,4371526.085999999,39.463865433826236,-0.3819731605851467
1454981,A - Horquilla,4,723697.8959999997,4374267.869000001,39.488943766646045,-0.39881161619493233
1454982,A - Horquilla,4,725667.3770000003,4374109.696,39.487005611424514,-0.375986210247557
1454983,A - Horquilla,4,725663.54,4374097.795,39.4868994954855,-0.37603481110451176
1454984,A - Horquilla,6,727035.3650000002,4370542.806,39.45453993040672,-0.3613091713329957
1454985,A - Horquilla,4,727154.8159999996,4370563.164000001,39.454691677354646,-0.35991532172532503
1454986,A - Horquilla,4,729293.6339999996,4371845.613,39.4656680782715,-0.3346416712624617
1454987,A - Horquilla,2,729289.1859999998,4371842.112,39.46563775089156,-0.3346945262711559
1454988,A - Horquilla,4,729671.8090000004,4372389.211999999,39.47046011492733,-0.33006303883975496
1454989,A - Horquilla,4,729669.176,4372371.1850000005,39.4702985596234,-0.33009982218491707
1454990,A - Horquilla,4,722928.6430000002,4373373.058,39.48108895238893,-0.4080472179698559
1454991,A - Horquilla,2,725853.1770000001,4370580.571,39.455190687321945,-0.3750226789551464
1454992,A - Horquilla,4,724432.6339999996,4370439.892000001,39.45429575592816,-0.39156413090745606
1454993,A - Horquilla,4,725625.9189999998,4372472.153999999,39.472276727913574,-0.377021870458305
1454994,A - Horquilla,4,725618.8760000002,4372485.683,39.47240035085022,-0.3770990915023544
1454995,A - Horquilla,8,725617.9500000002,4372498.562999999,39.472516528547835,-0.3771054897232885
1454996,A - Horquilla,6,725594.8640000001,4372538.659,39.47288349046282,-0.377360049523131
1454997,A - Horquilla,12,725576.2740000002,4372547.3100000005,39.47296623193619,-0.3775730287398026
1454998,A - Horquilla,8,725553.5640000002,4372608.874,39.47352633142047,-0.3778159664535208
1454999,A - Horquilla,6,723484.6749999998,4371105.923,39.46053745208433,-0.4023480401192938
1455000,A - Horquilla,2,723532.0549999997,4371020.523,39.459756437513974,-0.40182645388684196
1455001,A - Horquilla,2,723529.8329999996,4371044.634,39.4599740460937,-0.4018441815320937
1455002,A - Horquilla,2,723563.0549999997,4370978.800000001,39.459372825951625,-0.4014804540828901
1455003,A - Horquilla,4,723581.4440000001,4370981.634,39.459393561336064,-0.4012659717895492
1455004,A - Horquilla,6,723617.4500000002,4371105.684,39.46050082937731,-0.4008063114873502
