candidate_rank,candidate_type,codbar,neighborhood,district,planning_grid_point,lat,lon,nearest_bike_parking_m,priority_score,top_10_probability,expected_rank,marginal_newly_served_grid_points,marginal_weighted_gap_reduction_m,cumulative_underserved_points_covered,cumulative_underserved_reduction_share,cumulative_weighted_gap_reduction_m,cumulative_weighted_gap_reduction_share
1,modeled_review_area,111,EL GRAU,POBLATS MARÍTIMS,35,39.42884814946251,-0.3195937450556515,1470.1,0.8459693371159347,1.0,1.002,9,190557.34918091266,9,0.013888888888888888,190557.3491809126,0.22257211487979156
2,modeled_review_area,111,EL GRAU,POBLATS MARÍTIMS,132,39.44771268413736,-0.30912457721296394,1860.9,0.8459693371159347,1.0,1.002,5,129274.15449590841,14,0.021604938271604937,319831.5036768211,0.37356509462645426
3,modeled_review_area,106,LA PUNTA,QUATRE CARRERES,39,39.43375283561825,-0.34138446096406394,1044.3,0.7111299367617229,0.9985,2.2271,9,73544.81689387969,23,0.035493827160493825,393376.3205707008,0.4594658772773364
4,modeled_review_area,106,LA PUNTA,QUATRE CARRERES,85,39.43779523590572,-0.3553428947938162,1104.5,0.7111299367617229,0.9985,2.2271,9,60300.615947078186,32,0.04938271604938271,453676.93651777896,0.5298973546125576
5,modeled_review_area,111,EL GRAU,POBLATS MARÍTIMS,68,39.43289054974998,-0.3318077742054537,1198.5,0.8459693371159347,1.0,1.002,9,36288.42710262475,41,0.06327160493827161,489965.36362040375,0.5722824528552096
6,modeled_review_area,106,LA PUNTA,QUATRE CARRERES,173,39.44453256971816,-0.3553428947938162,742.3,0.7111299367617229,0.9985,2.2271,9,22003.831130007387,50,0.07716049382716049,511969.19475041114,0.5979830582168741
7,modeled_review_area,44,SANT PAU,CAMPANAR,86,39.4876588083371,-0.4169486631497439,730.8,0.4203473820617095,0.0169,41.6132,9,18834.07570097257,59,0.09104938271604938,530803.2704513837,0.6199813704236198
8,modeled_review_area,115,NATZARET,POBLATS MARÍTIMS,13,39.44370824567947,-0.330523617735613,259.4,0.5508607131597754,0.1124,13.4484,5,11460.283539696506,64,0.09876543209876543,542263.5539910803,0.6333670496194963
9,modeled_review_area,103,MALILLA,QUATRE CARRERES,13,39.43754023969483,-0.370578618559185,630.2,0.48187205124974336,0.0286,28.8182,9,11353.347214422985,73,0.11265432098765432,553616.9012055031,0.6466278265527421
10,modeled_review_area,115,NATZARET,POBLATS MARÍTIMS,2,39.43831837862951,-0.3357583922606916,615.9,0.5508607131597754,0.1124,13.4484,8,10162.118216609539,81,0.125,563779.0194221127,0.6584972409461063
11,modeled_review_area,153,SANT LLORENS,RASCANYA,55,39.50098053833728,-0.36316450463826344,599.5,0.43514450249124964,0.0109,38.4972,8,9286.121187150973,89,0.13734567901234568,573065.1406092637,0.669343485609659
12,modeled_review_area,103,MALILLA,QUATRE CARRERES,16,39.43888770645732,-0.38279282269434567,661.3,0.48187205124974336,0.0286,28.8182,9,7071.861124029476,98,0.15123456790123457,580137.0017332932,0.6776034613769388
13,modeled_review_area,142,CAMI DE VERA,BENIMACLET,15,39.48627027439644,-0.34716595222545066,595.4,0.5829136961143101,0.8153,7.6871,9,6812.78945688504,107,0.16512345679012347,586949.7911901782,0.6855608398992968
14,modeled_review_area,44,SANT PAU,CAMPANAR,114,39.49035374186208,-0.4221864760822103,542.6,0.4203473820617095,0.0169,41.6132,9,4638.892886383779,116,0.17901234567901234,591588.684076562,0.6909790943243362
15,modeled_review_area,44,SANT PAU,CAMPANAR,73,39.48631134157461,-0.41171085021727744,612.2,0.4203473820617095,0.0169,41.6132,9,3696.311630877244,125,0.19290123456790123,595284.9957074393,0.6952964082483353
16,modeled_review_area,95,CAMI REAL,JESUS,47,39.44729625885417,-0.4014912923169562,443.5,0.5523795982896584,0.3972,13.7369,9,2954.2706318304586,134,0.20679012345679013,598239.2663392697,0.6987470138811283
17,modeled_review_area,153,SANT LLORENS,RASCANYA,50,39.49963307157479,-0.35792596190611664,565.2,0.43514450249124964,0.0109,38.4972,7,2359.6153719898443,141,0.2175925925925926,600598.8817112595,0.7015030586409031
18,modeled_review_area,103,MALILLA,QUATRE CARRERES,10,39.43754023969483,-0.37581327747425386,539.8,0.48187205124974336,0.0286,28.8182,8,2118.281771952071,149,0.22993827160493827,602717.1634832117,0.7039772243234195
19,modeled_review_area,153,SANT LLORENS,RASCANYA,52,39.50098053833728,-0.36840304737041024,388.4,0.43514450249124964,0.0109,38.4972,5,1283.6519110669078,154,0.23765432098765432,604000.8153942785,0.7054765373745493
20,modeled_review_area,135,LA CARRASCA,ALGIRÓS,81,39.48522290331599,-0.33459462001357887,408.6,0.37550797453150536,0.0,50.7584,6,1225.219107682276,160,0.24691358024691357,605226.0345019609,0.7069076005645032
21,modeled_review_area,135,LA CARRASCA,ALGIRÓS,77,39.48522290331599,-0.3415777368776248,304.4,0.37550797453150536,0.0,50.7584,6,797.491564754822,166,0.25617283950617287,606023.5260667156,0.7078390754455781
22,modeled_review_area,95,CAMI REAL,JESUS,2,39.43786399151675,-0.38753216747975355,375.5,0.5523795982896584,0.3972,13.7369,5,649.9071537598456,171,0.2638888888888889,606673.4332204754,0.7085981708586367
23,modeled_review_area,142,CAMI DE VERA,BENIMACLET,29,39.48896520792142,-0.3506578627107937,385.6,0.5829136961143101,0.8153,7.6871,3,567.1201256542959,174,0.26851851851851855,607240.5533461298,0.7092605705314929
24,modeled_review_area,95,CAMI REAL,JESUS,23,39.44190639180422,-0.3857872768751032,252.3,0.5523795982896584,0.3972,13.7369,3,541.5670048781828,177,0.27314814814814814,607782.1203510079,0.7098931240076142
25,modeled_review_area,83,VARA DE QUART,PATRAIX,0,39.454330819516976,-0.4099893845233258,392.1,0.5055089625418495,0.0006,23.9222,2,418.92570257420726,179,0.2762345679012346,608201.0460535821,0.7103824317147177
