codbar,neighborhood,district,ind_equip,ind_dem,ind_econom,ind_global,vul_global,area_m2,area_km2,centroid_lat,centroid_lon
11,LA SEU,CIUTAT VELLA,1.4,3.6,3.8,2.9,Vulnerabilidad Baja,221071.78845,0.22107178845,39.476620388363834,-0.3751184332513323
12,LA XEREA,CIUTAT VELLA,2.0,3.0,4.0,3.0,Vulnerabilidad Baja,311647.9356,0.31164793560000004,39.47414293694746,-0.3709324834091289
13,EL CARME,CIUTAT VELLA,2.8,3.6,3.1,3.2,Vulnerabilidad Baja,384064.39905,0.38406439905,39.479044187093315,-0.3799855300141898
14,EL PILAR,CIUTAT VELLA,1.6,3.4,3.4,2.8,Vulnerabilidad Baja,161607.415,0.161607415,39.473244344918626,-0.38228814232423913
15,EL MERCAT,CIUTAT VELLA,1.0,3.6,3.7,2.8,Vulnerabilidad Baja,172793.1747,0.1727931747,39.47383025963899,-0.3788324785331172
16,SANT FRANCESC,CIUTAT VELLA,1.6,3.1,4.3,3.0,Vulnerabilidad Baja,438654.78475,0.43865478474999997,39.47010644486034,-0.37604900549117987
21,RUSSAFA,L'EIXAMPLE,4.4,2.4,3.2,3.3,Vulnerabilidad Baja,877698.7044,0.8776987044000001,39.461190548661875,-0.37369546592932945
22,EL PLA DEL REMEI,L'EIXAMPLE,1.8,2.7,4.2,2.9,Vulnerabilidad Baja,386914.76625,0.38691476625,39.46901555918422,-0.3689645574038012
23,LA GRAN VIA,L'EIXAMPLE,2.2,2.6,3.9,2.9,Vulnerabilidad Baja,468562.92565,0.46856292565,39.46554380239617,-0.3655204819811633
31,EL BOTANIC,EXTRAMURS,2.8,3.0,3.3,3.0,Vulnerabilidad Baja,370110.86595,0.37011086595000003,39.47613457052456,-0.38596794777364496
32,LA ROQUETA,EXTRAMURS,1.4,3.1,3.6,2.7,Vulnerabilidad Baja,230568.81,0.23056880999999999,39.466506547327704,-0.3800190854860892
33,LA PETXINA,EXTRAMURS,3.0,2.1,3.4,2.8,Vulnerabilidad Baja,496668.6825,0.4966686825,39.47356550362437,-0.3909817036401351
34,ARRANCAPINS,EXTRAMURS,3.6,2.7,3.4,3.2,Vulnerabilidad Baja,874367.828451,0.874367828451,39.46409867704082,-0.3842651882829985
41,CAMPANAR,CAMPANAR,4.4,3.0,3.6,3.7,Vulnerabilidad Baja,988021.1798,0.9880211798,39.48105243712336,-0.39422300941943283
42,LES TENDETES,CAMPANAR,2.2,3.0,2.9,2.7,Vulnerabilidad Baja,258207.6422,0.2582076422,39.48318799634565,-0.38580008084266776
43,EL CALVARI,CAMPANAR,1.2,2.6,1.8,1.9,Vulnerabilidad Alta,93682.7325001,0.0936827325001,39.48698061023942,-0.3903436440048376
44,SANT PAU,CAMPANAR,4.0,3.6,4.0,3.9,Vulnerabilidad Baja,3897813.19835,3.89781319835,39.486669026237465,-0.41060790479460046
51,MARXALENES,LA SAÏDIA,2.4,2.6,2.2,2.4,Vulnerabilidad Media,390361.725,0.390361725,39.48596999539278,-0.38299994871562
52,MORVEDRE,LA SAÏDIA,2.0,2.4,2.4,2.3,Vulnerabilidad Alta,428183.60405,0.42818360405,39.48407374709207,-0.374776457256648
53,TRINITAT,LA SAÏDIA,3.2,2.6,2.7,2.8,Vulnerabilidad Baja,595671.04505,0.5956710450499999,39.48176721714784,-0.3688325326613446
54,TORMOS,LA SAÏDIA,2.6,2.9,2.2,2.6,Vulnerabilidad Baja,279947.38785,0.27994738785,39.489296787269716,-0.37938901146529563
55,SANT ANTONI,LA SAÏDIA,2.0,2.7,3.1,2.6,Vulnerabilidad Baja,249733.09395,0.24973309395,39.488706943253,-0.37322650817787945
61,EXPOSICIO,EL PLA DEL REAL,2.0,2.7,4.1,2.9,Vulnerabilidad Baja,381608.675,0.381608675,39.476137836544765,-0.363690364219517
62,MESTALLA,EL PLA DEL REAL,3.0,2.9,3.7,3.2,Vulnerabilidad Baja,843587.0222,0.8435870222,39.47098033451849,-0.35884497916704283
63,JAUME ROIG,EL PLA DEL REAL,1.2,2.4,4.2,2.6,Vulnerabilidad Baja,190797.3847,0.1907973847,39.48174281864096,-0.363073281238664
64,CIUTAT UNIVERSITARIA,EL PLA DEL REAL,1.8,3.1,4.0,3.0,Vulnerabilidad Baja,276954.5078,0.2769545078,39.47854970455085,-0.3586248160984583
71,NOU MOLES,L'OLIVERETA,2.8,2.6,2.3,2.6,Vulnerabilidad Baja,739570.3533,0.7395703533,39.47138692355826,-0.39862054919545553
72,SOTERNES,L'OLIVERETA,1.6,2.6,2.3,2.2,Vulnerabilidad Alta,224300.667501,0.224300667501,39.47094428467513,-0.40973796744838387
73,TRES FORQUES,L'OLIVERETA,3.2,2.6,1.6,2.5,Vulnerabilidad Media,526757.0044,0.5267570044,39.46636453885271,-0.400898631061648
74,LA FONTSANTA,L'OLIVERETA,3.0,3.0,1.6,2.5,Vulnerabilidad Media,323029.89785,0.32302989785,39.46623865500812,-0.4085597001334599
