codbar,neighborhood,district,priority_score,base_rank,expected_priority_score,priority_score_p05,priority_score_p95,expected_rank,rank_p05,rank_p50,rank_p95,rank_interval_width,top_1_probability,top_5_probability,top_10_probability
111,EL GRAU,POBLATS MARÍTIMS,0.8459693371159347,1,0.8460692793618411,0.8060971097727636,0.8837950919930383,1.002,1.0,1.0,1.0,0.0,0.998,1.0,1.0
106,LA PUNTA,QUATRE CARRERES,0.7111299367617229,2,0.7108325916049273,0.6538857908287412,0.768680775260598,2.2271,2.0,2.0,3.0,1.0,0.0,0.9747,0.9985
43,EL CALVARI,CAMPANAR,0.6135850789789661,3,0.6131016977049579,0.5102490299447566,0.7095519553960781,4.2826,2.0,3.0,11.0,9.0,0.002,0.8169,0.9385
102,EN CORTS,QUATRE CARRERES,0.5991550441087121,4,0.5986614343498498,0.5040944768852823,0.6849564784551427,4.6758,4.0,4.0,7.0,3.0,0.0,0.7929,0.9926
162,CIUTAT FALLERA,BENICALAP,0.596053340924879,5,0.5955872686126855,0.5047952991928841,0.6777028960732909,5.1648,3.0,5.0,6.0,3.0,0.0,0.6873,0.9999
72,SOTERNES,L'OLIVERETA,0.5890927675876523,6,0.5885963692305086,0.4939070105084965,0.6748131313715016,6.8307,5.0,6.0,10.0,5.0,0.0,0.1659,0.9504
142,CAMI DE VERA,BENIMACLET,0.5829136961143101,7,0.5825692106121424,0.5291056309005677,0.6398975671002931,7.6871,3.0,7.0,19.0,16.0,0.0,0.3843,0.8153
94,SANT MARCEL.LI,JESUS,0.5767877599111328,8,0.5762961573312239,0.4847559234871547,0.6592333253196833,7.7842,7.0,8.0,9.0,2.0,0.0,0.0036,0.9742
93,LA CREU COBERTA,JESUS,0.5637956884316158,9,0.5633370966539077,0.4759772274876013,0.6468809686048279,9.5013,6.0,9.0,13.0,7.0,0.0,0.0165,0.8272
104,LA FONTETA S.LLUIS,QUATRE CARRERES,0.560707036476462,10,0.5601918380083393,0.4680621948927376,0.6459146546973503,10.1841,8.0,10.0,13.0,5.0,0.0,0.0,0.631
95,CAMI REAL,JESUS,0.5523795982896584,11,0.551915646265429,0.48275433615340607,0.6248510062259411,13.7369,4.0,12.0,26.0,22.0,0.0,0.1448,0.3972
105,NA ROVELLA,QUATRE CARRERES,0.5516734933365366,12,0.5511832665758418,0.46195618359221413,0.6331263557199559,12.3205,10.0,13.0,15.0,5.0,0.0,0.0,0.133
115,NATZARET,POBLATS MARÍTIMS,0.5508607131597754,13,0.5504407491056289,0.47626024979521564,0.6233300460135262,13.4484,9.0,13.0,21.0,12.0,0.0,0.0,0.1124
92,L'HORT DE SENABRE,JESUS,0.5498351412614618,14,0.5493747478075657,0.4627735302126483,0.628023149638296,13.0159,11.0,13.0,15.0,4.0,0.0,0.0,0.0007
124,CAMI FONDO,CAMINS AL GRAU,0.5461319010477824,15,0.5456519735674701,0.45769930415503673,0.6257886605267717,14.622,12.0,15.0,17.0,5.0,0.0,0.0,0.0
123,LA CREU DEL GRAU,CAMINS AL GRAU,0.54064452332169,16,0.5401938914740299,0.4552608254200011,0.6170486537454913,16.0256,14.0,16.0,18.0,4.0,0.0,0.0,0.0
91,LA RAIOSA,JESUS,0.535535289805034,17,0.5351142196287478,0.4534578540662748,0.6088832266664147,17.3848,16.0,17.0,20.0,4.0,0.0,0.0,0.0
151,ELS ORRIOLS,RASCANYA,0.5346774600291447,18,0.5342564610293832,0.4493548794618975,0.6121216284322147,16.6139,8.0,18.0,23.0,15.0,0.0,0.0,0.1341
74,LA FONTSANTA,L'OLIVERETA,0.5317585906501202,19,0.5313141601263054,0.4478883497302629,0.6067132196644445,18.8671,18.0,19.0,22.0,4.0,0.0,0.0,0.0
51,MARXALENES,LA SAÏDIA,0.5175440939666827,20,0.5171029156862434,0.4334175521044958,0.5934363579026506,21.2308,18.0,21.0,26.0,8.0,0.0,0.0,0.0005
101,MONT-OLIVET,QUATRE CARRERES,0.5172669326433031,21,0.5168322822571552,0.43136550237550625,0.5963016254791563,21.4543,13.0,21.0,30.0,17.0,0.0,0.0,0.0335
114,BETERO,POBLATS MARÍTIMS,0.5144731691812742,22,0.5140578341709295,0.43231639147740203,0.5884044319426842,22.6571,19.0,22.0,27.0,8.0,0.0,0.0,0.0
73,TRES FORQUES,L'OLIVERETA,0.5104167801259838,23,0.5100035120066683,0.43070499108746524,0.5819940345348679,23.8747,22.0,24.0,26.0,4.0,0.0,0.0,0.0
133,L'AMISTAT,ALGIRÓS,0.5082111136106812,24,0.5077722308092528,0.4244913873494797,0.5838734099097137,24.934,22.0,24.0,31.0,9.0,0.0,0.0,0.0
83,VARA DE QUART,PATRAIX,0.5055089625418495,25,0.5051110090797909,0.4405213649991067,0.5698904104068325,23.9222,18.0,25.0,30.0,12.0,0.0,0.0,0.0006
121,AIORA,CAMINS AL GRAU,0.4962722654903471,26,0.4958655164803722,0.4155717124322344,0.569833194210237,27.6404,24.0,26.0,34.0,10.0,0.0,0.0,0.0
63,JAUME ROIG,EL PLA DEL REAL,0.49088660496334574,27,0.4904538824931385,0.4110846783244371,0.5624954696350702,28.2742,27.0,28.0,31.0,4.0,0.0,0.0,0.0
52,MORVEDRE,LA SAÏDIA,0.4894470878173824,28,0.4890746613926755,0.40783795355312225,0.5657822801686984,29.1012,22.0,29.0,38.0,16.0,0.0,0.0,0.004
